ID_Transacao,Valor_Compra,Qtd_Itens,Tempo_Sessao_Min,Avaliacao_Cliente
1,45.50,3,1.2,4
2,92.10,5,3.5,5
3,120.00,6,2.1,3
4,75.90,4,4.0,4
5,50.20,3,1.5,5
6,130.50,7,5.2,4
7,88.00,4,3.1,3
8,65.70,3,1.8,4
9,150.00,7,6.0,5
10,95.30,5,3.8,4
11,48.20,3,1.4,5
12,110.80,6,4.5,3
13,80.10,4,2.5,4
14,55.40,3,1.7,5
15,145.90,7,5.5,4
16,99.99,5,3.9,3
17,70.60,4,2.3,4
18,52.80,3,1.6,5
19,160.20,8,6.2,4
20,105.00,5,4.1,3
21,43.10,3,1.1,4
22,90.40,5,3.4,5
23,125.60,6,2.0,3
24,78.70,4,4.2,4
25,51.90,3,1.3,5
26,135.20,7,5.3,4
27,85.50,4,3.0,3
28,68.10,3,1.9,4
29,155.40,8,6.1,5
30,97.60,5,3.7,4
31,46.80,3,1.3,5
32,112.30,6,4.6,3
33,82.90,4,2.6,4
34,57.10,3,1.8,5
35,140.70,7,5.6,4
36,102.50,5,4.0,3
37,73.40,4,2.4,4
38,54.60,3,1.5,5
39,165.10,8,6.3,4
40,108.90,6,4.3,3
41,44.50,3,1.0,4
42,93.80,5,3.6,5
43,122.40,6,2.2,3
44,76.50,4,4.1,4
45,50.80,3,1.6,5
46,133.00,7,5.4,4
47,89.20,4,3.2,3
48,66.90,3,1.7,4
49,152.80,8,6.0,5
50,94.10,5,3.9,4
51,47.50,3,1.4,5
52,111.50,6,4.4,3
53,81.40,4,2.7,4
54,56.20,3,1.9,5
55,142.00,7,5.7,4
56,100.20,5,4.2,3
57,71.80,4,2.5,4
58,53.50,3,1.6,5
59,163.50,8,6.4,4
60,107.40,6,4.5,3
61,45.90,3,1.1,4
62,91.20,5,3.3,5
63,121.50,6,2.0,3
64,77.30,4,4.0,4
65,51.00,3,1.2,5
66,134.50,7,5.1,4
67,86.80,4,3.0,3
68,67.50,3,1.8,4
69,153.90,8,6.2,5
70,96.00,5,3.8,4
71,48.90,3,1.5,5
72,113.80,6,4.7,3
73,83.50,4,2.8,4
74,57.80,3,2.0,5
75,144.50,7,5.8,4
76,101.90,5,4.3,3
77,74.10,4,2.6,4
78,55.10,3,1.7,5
79,550.00,8,6.5,4
80,109.50,6,4.4,3
81,45.20,3,1.2,4
82,92.50,5,3.5,5
83,120.80,6,2.1,3
84,75.10,4,4.0,4
85,50.50,3,1.5,5
86,131.00,7,5.2,4
87,88.50,4,3.1,100
88,66.00,3,1.8,4
89,150.50,7,6.0,5
90,95.60,5,3.8,4
91,48.50,3,1.4,5
92,110.10,6,4.5,3
93,80.40,4,2.5,4
94,55.00,3,0.01,5
95,145.20,7,5.5,4
96,99.50,5,3.9,3
97,70.00,80,2.3,4
98,52.40,3,1.6,5
99,160.00,8,6.2,4
150,104.50,5,4.1,3
